t,power,slowness,back_azi
2020-01-01T01:30:47.345000Z,931404.852871,0.32,177.0
2020-01-01T01:30:47.355000Z,973841.764013,0.84,357.0
2020-01-01T01:30:47.365000Z,965596.775892,0.84,357.0
2020-01-01T01:30:47.375000Z,1115592.78677,0.84,357.0
2020-01-01T01:30:47.385000Z,991328.00788,0.84,357.0
2020-01-01T01:30:47.395000Z,967385.587681,0.16,306.0
2020-01-01T01:30:47.405000Z,774654.066571,0.16,306.0
2020-01-01T01:30:47.415000Z,703904.549378,0.6,282.0
2020-01-01T01:30:47.425000Z,704606.65375,0.6,282.0
2020-01-01T01:30:47.435000Z,868439.614534,0.6,282.0
2020-01-01T01:30:47.445000Z,866216.899203,0.6,282.0
2020-01-01T01:30:47.455000Z,1125854.76285,0.6,282.0
2020-01-01T01:30:47.465000Z,1042464.81366,0.6,282.0
2020-01-01T01:30:47.475000Z,1086035.46946,0.84,186.0
2020-01-01T01:30:47.485000Z,976513.171283,0.84,186.0
2020-01-01T01:30:47.495000Z,1054512.07524,0.56,282.0
2020-01-01T01:30:47.505000Z,1032710.96116,0.56,282.0
2020-01-01T01:30:47.515000Z,941713.71373,0.56,282.0
2020-01-01T01:30:47.525000Z,5337539.55769,0.16,171.0
2020-01-01T01:30:47.535000Z,24154201.1167,0.16,171.0
2020-01-01T01:30:47.545000Z,26047412.9598,0.16,171.0
2020-01-01T01:30:47.555000Z,26519281.6194,0.16,171.0
2020-01-01T01:30:47.565000Z,26467735.1548,0.16,171.0
2020-01-01T01:30:47.575000Z,26615941.37,0.16,171.0
2020-01-01T01:30:47.585000Z,27748097.6667,0.16,171.0
2020-01-01T01:30:47.595000Z,27486229.3866,0.16,171.0
2020-01-01T01:30:47.605000Z,27923930.2536,0.16,171.0
2020-01-01T01:30:47.615000Z,28760978.9676,0.16,171.0
2020-01-01T01:30:47.625000Z,29603226.3332,0.16,171.0
2020-01-01T01:30:47.635000Z,29095242.9537,0.16,171.0
2020-01-01T01:30:47.645000Z,28932652.8189,0.16,171.0
2020-01-01T01:30:47.655000Z,29352215.4199,0.16,171.0
2020-01-01T01:30:47.665000Z,30175097.1656,0.16,171.0
2020-01-01T01:30:47.675000Z,30162223.6699,0.16,171.0
2020-01-01T01:30:47.685000Z,30452376.9867,0.16,171.0
2020-01-01T01:30:47.695000Z,30233598.1781,0.16,171.0
2020-01-01T01:30:47.705000Z,30080886.2423,0.16,171.0
2020-01-01T01:30:47.715000Z,28915386.6617,0.16,171.0
2020-01-01T01:30:47.725000Z,12272593.5142,0.16,168.0
2020-01-01T01:30:47.735000Z,1891273.69683,0.16,162.0
2020-01-01T01:30:47.745000Z,1046110.20587,0.16,162.0
2020-01-01T01:30:47.755000Z,788007.792474,0.24,207.0
2020-01-01T01:30:47.765000Z,671770.289317,0.48,117.0
2020-01-01T01:30:47.775000Z,632953.170423,0.4,96.0
2020-01-01T01:30:47.785000Z,671067.635307,0.28,147.0
2020-01-01T01:30:47.795000Z,687548.845134,0.84,210.0
2020-01-01T01:30:47.805000Z,679633.100834,0.64,99.0
2020-01-01T01:30:47.815000Z,642044.879986,0.28,147.0
2020-01-01T01:30:47.825000Z,744404.060612,0.56,114.0
2020-01-01T01:30:47.835000Z,778705.908064,0.56,114.0
2020-01-01T01:30:47.845000Z,758454.520663,0.72,102.0
2020-01-01T01:30:47.855000Z,947853.559598,0.72,105.0
2020-01-01T01:30:47.865000Z,874909.657806,0.72,105.0
2020-01-01T01:30:47.875000Z,831604.049482,0.68,102.0
2020-01-01T01:30:47.885000Z,891271.532784,0.72,219.0
